                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9559,                 1.7589,                 282.18,                0.78752,                0.00047,                0.03846,                0.00015,                  5e-05,                0.00126,                0.07692,                0.00032,                 0.0002,                 2.3038,                 1.5049,                 136.89,                  1.001,                 0.0811,                 0.0021,                 0.0021
                      1,                 1.9806,                 1.6413,                 81.985,                0.76986,                0.00087,                    0.5,                0.03742,                0.01211,                0.16856,                0.11538,                0.05511,                0.02703,                 2.4211,                 1.4003,                 8.1126,                 1.0267,               0.061257,              0.0042574,              0.0042574
                      2,                 2.0342,                 1.2426,                 4.8977,                0.83627,                0.37021,                0.26923,                 0.1727,                0.04408,                0.40234,                0.34615,                0.23684,                0.08412,                 2.8393,                 1.3445,                  4.876,                0.90968,               0.041371,              0.0063713,              0.0063713
                      3,                 2.0903,                0.91903,                 7.8077,                0.81502,                  0.875,                0.26923,                 0.4365,                0.10976,                   0.75,                0.23077,                0.46013,                0.18586,                 2.6624,                 1.5354,                 24.532,                 1.0012,               0.021442,              0.0084416,              0.0084416
                      4,                  1.929,                0.84837,                 8.1278,                0.74582,                0.86546,                0.30769,                0.34754,                0.08954,                0.86546,                0.30769,                0.35707,                 0.1451,                 2.6402,                 1.8735,                  2.278,                 1.0637,               0.009604,               0.009604,               0.009604
                      5,                 2.0514,                0.74635,                 4.0592,                0.84316,                0.84513,                0.21137,                0.28729,                0.06181,                0.84594,                0.21267,                0.29686,                0.08117,                 2.7063,                 1.6767,                 2.0571,                 1.1112,               0.009604,               0.009604,               0.009604
                      6,                 1.9836,                0.67543,                 2.4052,                0.83882,                 0.5126,                0.38462,                 0.2656,                0.07905,                0.39905,                0.30769,                0.16467,                0.06273,                 2.7976,                 2.3378,                 4.2126,                 1.1006,               0.009505,               0.009505,               0.009505
                      7,                 2.0607,                0.87345,                 2.0046,                0.82817,                0.54757,                0.42308,                0.37114,                0.10346,                0.48809,                0.38462,                 0.3533,                 0.0862,                 2.6751,                 2.2386,                 1.5004,                 1.0382,               0.009406,               0.009406,               0.009406
                      8,                 2.1187,                0.62582,                 1.3242,                0.85324,                0.56601,                0.34615,                0.33765,                0.12645,                0.54345,                0.30769,                0.26742,                0.08782,                 2.6999,                 1.6617,                 1.6693,                 1.0341,               0.009307,               0.009307,               0.009307
                      9,                 2.0291,                0.49676,                 1.1979,                0.77695,                0.60779,                0.23077,                 0.2432,                0.06886,                0.96829,                0.30769,                0.41902,                0.10197,                 3.1599,                  2.605,                 2.2538,                 1.2327,               0.009208,               0.009208,               0.009208
